bank_name,address,city,state,phone,latitude,longitude
"Odisha Red Cross Blood Bank, Malkangiri","District Head quarters Hospita Malkangiri,, 764048",DNK Malkangiri,Odisha,06861 231200,18.581971,82.075923
A. S. Raja Voluntary Blood Bank,"D.No. 10-50-11/5, Ground Floor, 1st, 2nd and 3rd Floor, Beside CARE Hospital, Waltair Main Road, Ramnagar, Visakhapatnam, 530002",Visakhapatnam,Andhra Pradesh,"0891 2543436,0891 6663436,0891 6644936.",17.720274,83.313048
District Headquarters Hospital Blood Bank,"District Headquarters Hospital, Cantonment, Vizianagaram, 535003",Vizianagaram,Andhra Pradesh,NA,18.110022,83.388433
M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology,"D. No.6-25, Maridi Valley, Marikavalasa, Madhurawada, Vishakapatnam, 530048",Visakhapatnam,Andhra Pradesh,"0891 2793741, 0891 2590131",17.689433,83.211615
M/s. Government Area General Hospital Blood Bank.,"M/s.Government Area Hospital Blood Bank, Area hospital, Tuni, 533401",Tuni,Andhra Pradesh,08854 252333,17.354937,82.541241
M/s. Seven Hills Hospital Blood Bank,"D.No.11-4-4/A, 5th Floor, Rock Dale Layout, Waltair MainRoad, Visakhapatnam, 530002",Visakhapatnam,Andhra Pradesh,0891 6677777,17.71737,83.309268
M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust),"D.No: 13-26-2/54, 3rd Floor, Apuroopa Arcade, Near Jagadamba Junction, Maharanipeta, Vishakapatnam, 530002",Visakhapatnam,Andhra Pradesh,"0891 6534635, 0891 2506678",17.686816,83.218482
District Hospital,"AH- ANAKAPALLI, 531001",Anakapalli,Andhra Pradesh,9848325561,17.689592,82.997733
GMR Varalakshmi Care Hospital Blood Bank,"GMR Varalakshmi Care Hospital Premises, GMR Nagar, Rajam, 532127",Rajam,Andhra Pradesh,"08941 253183, 08941 253184",18.461272,83.658352
Sardar Rajas Medical College Hospital Blood Bank,"Blood Bank, Sardar Rajas MCH, Bhawaniptna, 766001",N/A,Odisha,06670 226701,19.890621,83.014694
M/s. Gitam Institute of Medical Sciences and Research Blood Bank,"D.No.5-168, Ward No.6, Gitam University, Rushikonda, Visakhapatnam, 530045",Visakhapatnam,Andhra Pradesh,0891 2524777,17.784938,83.374975
Anand Hospital Blood Bank,"A-1, Damodar Colony, Garh Road, 250002",Meerut,Uttar Pradesh,0121 2792000,28.96181,77.746366
Yanam Old Age Home Blood Bank,"D.no:7-4-055, Old Rajeev Nagar, River bank, Yanam, 533464",Yanam,Puducherry,8842324933,16.729453,82.216893
M/S. Dhanwantari Voluntary Blood Bank.,"D.No:46-21-1,2nd Floor, Danavaiepeta, Rajahmundry, 533103",Rajahmundry,Andhra Pradesh,0833-2473050,17.00787,81.785213
"Indian Red Cross Society Blood Bank, RCH-II","Area Hospital Premises, First Floor, Belagam, Parvathipuram, 535501",Parvathipuram,Andhra Pradesh,08963 222088,18.781716,83.426752
"Odisha Red Cross Blood Bank, Koraput","District Head Quarter Hospital, Janiguda, 764020",Koraput,Odisha,06852 252101,18.805606,82.705017
"Odisha Red Cross Blood Bank, Khurda","District Head Quarter Hospital, CDMO Campus, At/Po/Dt-Khordha, 752055",Khordha,Odisha,06755 223978,20.0553881,84.9466673
Asha Kiran Society Blood Bank,"Lamtaput, Koraput, 764081",Lamtaput,Odisha,06868 272213,18.599153,82.601739
M/s. NTR Area Hospital Blood Bank,"APVVP Hospital Premises, Anakapalli, Visakhapatnam, 531001",Anakapalli,Andhra Pradesh,08924 223340,17.686427,83.218576
District Headquarters Hospital,"Blood Bank Medical Officer, Blood Bank, District Headquarters . Hospital, Rajahmundry, 533101",Rajahmundry,Andhra Pradesh,9849520969,17.019708,81.791631
"Odisha Red Cross Blood Bank, Nabarangpur","District Head Quarter Hospital, Miriganiguda, 764059",Nabarangpur,Odisha,6858222360,19.22886,82.56679
M/s. Indian Red Cross Society Blood Bank,"D.No: 8-14-39, Ground & 1st  Floor, Red Cross Street, Gandhi Nagar, Kakinada, 533004",Kakinada,Andhra Pradesh,0884 2385800,16.989065,82.247465
Maharani Hospital Blood Bank,"Lt. brkm .govtmedical college jagdalpur
chandni chouk jagdalpur, 494001",Jagdalpur,Chhattisgarh,07782-225958,19.085071,82.023963
"Odisha Red Cross Blood, Paralakhemundi","District Hospital, Paralakhemundi,Gajapati, 761200",Gajapai,Odisha,"06815 222467, 06815 222787",18.771476,84.096865
M/s. Anil Neerukonda Hospital  Blood Bank,"Sangivalasa, Bheemunipatnam (M), Visakhapatnam District, 531162",Sangivalasa,Andhra Pradesh,8912821111 (Exte. No. 126),17.97256,83.432338
Indian Red Cross Society Blood Bank Tanuku  (Repeated),"IRCS Sub Branch Doorno 27-14-9, Dodipatlavari Street, 
Tanuku, West Godavari District, 534211",Tanuku,Andhra Pradesh,8819221184,16.757173,81.679963
M/s. N.T.R. Memorial Trust Blood Bank,"P. No. 15B-3-1, Block No. 56, Waltair Main Road, Ramnagar, Visakhapatnam, 530002",Visakhapatnam,Andhra Pradesh,"0891 2565858, 0891 2555858",17.691575,83.238891
Lions Club Matadin Goel Blood Bank,"Blood Bank Medical Officer,  Lions Club Matadin Goel Blood Bank, Himayatnagar, Hyderabad,, 500029",Hymayathnagar,Telangana,040 23226624,17.403106,78.479609
M/s. Apollo Hospital Heart & Kidney Centre Blood Bank,"D.No.10-50-80, 1st Floor, Apollo Hospital, Waltair Main Road, Visakhapatnam., 530002",Visakhapatnam,Andhra Pradesh,0891 2727272,17.717084,83.309208
"Odisha Red Cross Blood Bank, SDH, Baliguda","Sub-Divisional Hospital, Near SBI, Balliguda, 762103",Baliguda,Odisha,6846243195,20.200309,83.909889
Indian Red Cross Society Blood Bank,"D.No. 71/82, Near Ganesh Temple, Cantonment,  Vizianagaram, 535003",Vizianagaram,Andhra Pradesh,08922 272700,18.106658,83.395551
NALCO Hospital Blood Bank,"Sector 3, Damanjodi, 764020",Damanjodi,Odisha,06852 254515,18.760347,82.9011261
"M/s. Government General Hospital, Blood Bank.","Government General Premises, Ground Floor, Kakinada, 533001",Kakinada,Andhra Pradesh,0884 2302008,16.955537,82.22748
Gems Hospital Blood Bank,"Gems Hospital Premises, Ragolu, Srikakulam, 532001",Ragolu,Andhra Pradesh,NA,18.289087,83.9056
M/s. Indian Red Cross Society Blood Bank,"D.No:14-35-4, Behind Collecorate, Z..P. Junction, Maharanipeta, Visakhapatnam, 530002",Visakhapatnam,Andhra Pradesh,0891 2703953,17.686816,83.218482
District Head Quarters Hospital Blood Bank Bhawanipatna,"Hospital Road, SH 44,, 766001",Bhawanipatna,Odisha,06670 234952,19.901936,83.159977
Maharaja Krishna Chandra Gajapati Medical College Blood bank,"National Highway 59, Berhampur, Ganjam, 760004",Berhampur,Odisha,0680 2292534,19.312434,84.810241
M/s. Government Victoria Hospital Blood Bank,"Women & Children Hospital Blood Bank, Visakhapatnam, 530001",Visakhapatnam,Andhra Pradesh,0891 2562637,17.686816,83.218482
"Odisha Red Cross Blood bank, SDH, Gunupur","sub- Divisional Hospital Gunupur, SDH Campus, 765001",Gunupur,Odisha,8596985766,19.071552,83.809261
M/s. Government Headquarters Hospital Blood Bank,"Government Headquarters Hospital, Ground Floor, R.R. Peta, Eluru, West Godavari, 534006",Eluru,Andhra Pradesh,08812 220333,17.006153,81.782132
HAL Hospital Blood Bank,"Sunabeda, Koraput, 763002",Sunabeda,Odisha,"06853 220234, 06583 220572",18.729641,82.8215279
M/s. King George Hospital (KGH) Blood Bank,"King George Hospital, Maharanipeta, Visakhapatnam, 530002",Visakhapatnam,Andhra Pradesh,0891 2564891,17.70667,83.303737
Christian Hospital Blood Bank Nabarangpur,"Christian Hospital, Nabarangpur, Mission Compound, 764059",Nabarangpur,Odisha,06858 222566,19.2392509,82.547666
M/s. Lions Club of Visakhapatnam Blod Bank Trust,"D. No.10-54-7, Lions Community Hall, Ram Nagar, Visakhapatnam, 530002",Visakhapatnam,Andhra Pradesh,"0891 6692587, 0891 6692580, 0891 6692590",17.719063,83.311286
M/s. Good Samaritan Blood Bank,"D.No.13-1, Good Samaritan Cancer and General Hospital, Vangayagudem, Eluru, West Godavari, 534001",Eluru,Andhra Pradesh,"08812 246430, 08812 246947",18.179738,83.39551
Dr. Mulla Pudi Harischandra Prasad Red Cross Blood Bank,"D.No.27-14-9, Doddipatla Vari Street, Tanuku., 534215",Tanuku,Andhra Pradesh,08819 221184,16.757173,81.679963
Indian Red Cross Society (IRCS) Blood Bank,"D.No. 8-5-2/A, Opposite to Bapuji Kalamandir, Srikakulam, 532001",Srikakulam,Andhra Pradesh,"08942 226555, 08942 226111",18.296359,83.894549
Christian Hospital Blood Bank,"Bissam Cuttack, Rayagada, 765019",Bissam Cuttack,Odisha,06863 247505,19.516658,83.506689
Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank,"RIMS Government Hospital Premises, Balaga, Srikakulam, 532001",Srikakulam,Andhra Pradesh,08942 279679,18.312884,83.887717
M/s. Visakha Steel General Hospital Blood Bank,"Ukkunagaram, Steel Plant, Visakhapatnam, 530032",Gajuwaka,Andhra Pradesh,0891 2887722,17.662908,83.144127
Nalwa Pathology and Microbiology Laboratory Blood Bank,"SCF-83, Commercial UE-1, Red Square market, 125001",Hisar,Haryana,"01662-236218, 01662 230699",29.157025,75.722428
Ratangarh General Hospital Blood Bank,"Man Nagar, Churu, 331022",Ratangarh,Rajasthan,"01567 222330, 01567-222924",28.07138,74.623013
Gupta Hospital Blood Bank,"2/A, Power House Road, Near Jindal Heart Hospital, 151001",Bathinda,Punjab,"0164 2212377, 0164 2217041",30.207465,74.950084
Mansa Civil Hospital Blood Bank,"Water Works Road, Civil Hospital, 151505",Mansa,Punjab,"01652220208, 01652 222102",29.985368,75.40316
Adesh Institute of Medical Sciences and Research Blood Bank,"NH- 7, Barnala Road, Bhucho, Tehsil Nathana, 151101",Bathinda,Punjab,"01645055015, 0164 5055084, 0164 5055000",30.222218,75.058662
Nabha Civil Hospital Blood Bank,"Nabha, 147201",Nabha,Punjab,"01765 226361, 01765 220 644",30.370999,76.146125
Kailash Hospital Blood Bank,"Delhi-Jaipur NH-08, Behror, Near Bharat Petrol Pump, 301701",Behror,Rajasthan,"01494 222222, 01494 222444",27.88214,76.286106
Goyal Jan Suvidha Charitable Blood Bank,"Sanjay Place, 282002",Agra,Uttar Pradesh,0562 3255164,27.198683,78.003769
Agrasen Blood Bank,"Puran mal Phoola Devi Memorial Trust, Maharaja Agrasen Hospital Campus, Sector No-7, Vidyadhar Nagar., 302023",Jaipur,Rajasthan,"0141 2335569, 0141 2572954",26.957297,75.777845
Narayana Multispeciality Hospital Blood bank,"Sec-28, Kumbha Marg, Prathap Nagar-Sanganer,, 302033",Jaipur,Rajasthan,"0141 7122222, 0141 5192939, 0141 5192901",26.794932,75.824591
Jagdambe Blood Bank,"Aggarwal Hospital, Kali Mandir Road, Bhatia Nagar, Tohana, Near Ram Bhawan, 125120",Tohana,Haryana,01692 230692,29.715587,75.900961
Purohit Charitable Trust Blood Bank,"11-12 G Block, Gaushala road, 335001",Sriganganagar,Rajasthan,0154 2489635,29.923281,73.874708
Pushpa Devi Memorial Blood Bank,"52-53, Ashok Vihar, Ambabari Bridge, Behind petol pump, Jhotwara Road, 302012",Jaipur,Rajasthan,0141-2336135,26.938802,75.780923
North Western Railway Hospital Blood Bank,"Beawar Road, Ramganj,, 305001",Ajmer,Rajasthan,"0145 2461004, 0145 2460402,  0145 246006",26.439622,74.639781
Lion Charitable Trust Blood Bank,"Near Kanoi Balika School, Adarsh Colony, Ramgariya Dharamshala Road., 331507",Sujangarh,Rajasthan,"01568 225300, 01568-225307",27.697179,74.471967
Malerkotla Civil Hospital Blood Bank,"Railway Rd, Agar Nagar, 148023",Malerkotla,Punjab,01675 253057,30.26952,75.809513
Mahatma Gandhi Hospital Blood Bank,"Jalori Bari Road, Jaswant Sarai, Ratanada, 342001",Jodhpur,Rajasthan,"0291 263 9851, 0291 2636437, 6438, 6439",26.282878,73.018759
Fortis Escorts Hospital Blood Bank,"Jawahar Lal Nehru Marg,  Malviya Nagar., 302017",Jaipur,Rajasthan,"0141254700, 0141 409 7109",26.846176,75.803437
Life Line Blood Bank,"1st floor Bombay hospital campus, Town Road, Hanumangarh Junction, 335512",Hanumangarh,Rajasthan,01552 269135,29.609166,74.297906
Mittal Hospital and Research Centre Blood Bank,"Pushkar Road, 305004",Ajmer,Rajasthan,0145 2603600,26.474396,74.612285
General Hospital Bhiwani Blood Bank,"Bhiwani, Park Colony, Vijay Nagar, Bhiwani,, 127021",Bhiwani,Haryana,01664 253014,28.797229,76.13081
Metro Blood Bank,"Metro Manas Arogya Sadan (MAS) Heart Care and Multispeciality Hospital
Shipra Path, Mansarovar, Near Technology Park, 302020",Jaipur,Rajasthan,"0141-6661234, 0141 2786001",26.868106,75.768461
Sevaytan Swasthay Kalyan Blood Bank,"Sevayatan Hospital, Ajmer Rd, Mittal Colony, Sodala, 302006",Jaipur,Rajasthan,1412220290,26.901102,75.770403
District Hospital Blood Bank,"Banda, 251001",Muzaffarnagar,Uttar Pradesh,0131 2440407,29.478774,77.696912
Kalapurnam General Hospital Khichan Blood Bank,"Bhatiyara Mohalla, Jodhpur., 342308",Jodhpur,Rajasthan,"02925 222970,",27.115405,72.415203
Jaipuria Hospital Blood Bank,"Milap Nagar, Tonk Road, Jaipur, 302018",Jaipur,Rajasthan,"0141 2552034, Extn. 200",26.856547,75.800524
Sadat Government Hospital Blood Bank,"Sadat Government Hospital, Bahir Colony, Tonk, 304001",Tonk,Rajasthan,"01432 247416, 01432 244160",26.176904,75.785332
Government BDM Hospital Blood Bank,"Kotputli,  NH-8, Near Morargi Dhramsala, 303108",Kotputli,Rajasthan,01421 222088,27.702019,76.190905
Rampura Phul Civil Hospital Blood Bank,"Cinema Road, Dashmesh Nagar, 151103",Rampura Phul,Punjab,01651 220700,30.274566,75.235609
"RAJKIYA MAHILA CHIKITSALAYA, AJMER","LOHAGAL ROAD, AJMER, 305001",Ajmer,Rajasthan,0145 2789212,26.52447481,74.66235606
Getwell Hospital and Research Center Blood Bank,"Opp.S.K. School,Near, Dr.B.L.Ranwa (Physician), 332001",Sikar,Rajasthan,"01572 271 101, 01572 270173, 01572 270101",27.611508,75.149061
Government Hospital Blood Bank,"Sojat, 306104",Sojat City,Rajasthan,02960 222030,25.922226,73.663357
Military Hospital Blood Bank,"Military Hospital, Nasirabad, 305601",Ajmer,Rajasthan,01491 220045,26.310265,74.727086
Swastik Blood Bank,"Gagan Path, Jhawar Nagar, Jawahar Nagar, 335001",Sriganganagar,Rajasthan,0154 2463764,29.91577,73.87975
Dr. K.M. Memorial Jain Heart & General Hospital Blood Bank,"Station Road, Subhash Chowk, 332001",Sikar,Rajasthan,"01572 253034, 01572-250999",27.613529,75.145288
Zanana Hospital Blood Bank,"Chand-Pole Gate, Station Road, Reserve Police Line, 302006",Jaipur,Rajasthan,"0141 231 9350, 0141-2776205, 0141 2378721, 0141 2378219, 0141 2378204",26.925927,75.806748
Haryana Blood Bank,"16, Model Town, NearJjindal Hospital, 125001",Hisar,Haryana,0166 2221740,29.130234,75.74437
Government S.J. Hospital Blood Bank,"Hanuman Circle, 345001",Jaisalmer,Rajasthan,"02992 251335,  02992-250701",26.241797,73.021563
Government Mahila Chikitsalaya Blood Bank,"Opposite Sangneri Gate, Adarsh Nagar, 302003",Jaipur,Rajasthan,"0141-2610542, 0141 2601333, 0141 2601334",26.914775,75.824649
Tapovan Blood Bank,"Opposite to Jawahar Nagar Tehsil Bhawan, 335001",Sriganganagar,Rajasthan,"0154-2460412, 0154 2460514",29.913206,73.881827
Umaid Hospital Blood Bank,"Siwanchi Gate Road, Pratap Nagar, 342003",Jodhpur,Rajasthan,"0291 243 5730 (Ext:233), 0291 2435720",26.284673,73.009906
Barnala Civil Hospital Blood Bank,"Civil Hospital Barnala, Ram Bagh Road, 148101",Barnala,Punjab,01679 33042,30.375616,75.544877
Kothari Medical Centre and Research Institute Blood Bank,"NH-15, Bangla Nagar, Bikaner., 334004",Bikaner,Rajasthan,9414506583,28.02578,73.298469
Sanjeevani Jan Sewa Samiti Blood Bank,"2nd Floor, Chalana Hospital Campus, Sector-6, JN Vyas Colony, Near Police Station, 334001",Bikaner,Rajasthan,0151 2235035,28.011857,73.354305
Abohar Civil Hospital Blood Bank,"NH 15, Krishna Nagri, Near Lakarh Mandi, 152116",Abohar,Punjab,"0163 422 1400, 01634 500924",30.141667,74.198522
Prince Bijoy Memorial Man&#39;s Hospital Blood bank,"National Highway 89, SP Medical College Road, Near Ambedkar Circal, 334001",Bikaner,Rajasthan,"01512226333 Ext-125, 0151 2226334, 0151 2226338",28.012378,73.327022
Central Medical Centre (CMC) Hospital Blood Bank,"Near Dabra Chowk Over Bridge, Hisar, 125001",Hisar,Haryana,"01662 237476, 01662 232360",29.140858,75.734103
Government B.D.K. Hospital Blood Bank,"Man Nagar, Opposite Bus Depot, Road No:1, 333001",Jhunjhunu,Rajasthan,"01592234789, 01592 232199, 01592 232524",28.116641,75.395501
General Hospital Blood Bank Sirsa,"Room No 25, G.H Sirsa, Near Jhunthra Dharmsala Sirsa, 125055",Sirsa,Haryana,"01666241155, 01666 240122",29.538977,75.014269
Apex Swasthya Kalyan Blood Bank,"Apex Hospital Pvt. Ltd.
SP-4 & 6, Malviya Nagar Industrial Area, Malviya Nagar,, 302017",Jaipur,Rajasthan,"0141 4101111, 0141 2751870, 0141 2751006",26.854701,75.82519
Birla Sarvajanik Hospital Blood Bank,"13, Chirawa-Pilani Rd, Norangpura, Pilani, 333001",Jhunjhunu,Rajasthan,01596 242 114,28.358777,75.604018
Mathura Das Mathur Government Hospital Blood Bank,"Main RoadMain Road, Sector-C, Shastri Nagar, Jodhpur., 342003",Jodhpur,Rajasthan,0291 2624300,26.266415,73.009226
General Hospital Blood Bank Fatehabad,"District Blood Tranfusion Center, General Hospital 
Fatehabad, 125050",Fatehabad,Haryana,01667-222443,29.517629,75.448988
S.K. Hospital Blood Bank,"silver Jubilee Road, Near SK College, 332001",Sikar,Rajasthan,"01572 270 499, 01572 251093",27.61311,75.150577
Life care Blood Bank,"Life Care Blood Bank,  Shri Balalji Hospital Campus,  46-D, Paramhans Colony,  Murlipura, Jaipur., 302032",Jaipur,Rajasthan,0141 223 6108,26.967938,75.766452
Dr. Anant Ram Janta Hospital Blood Bank,"Hospital Road, Hisar, Barwala, 125121",Hisar,Haryana,0169 324 2096,29.363162,75.901772
Max Super Speciality Hospital Blood Bank,"NH-64, Near Bathindha District Civil Hospital, Mansa Road, 151001",Bathinda,Punjab,0164 6601400,30.192388,74.946979
Manglam Blood Bank,"No 139, NH10-Tosham Road Connection Road, New Model Town, Jindal Hospital Road,, 125005",Hisar,Haryana,"01662 248767, 01662223367",29.131899,75.744839
S.K. Soni Blood Bank,"Sector 5, Vidhyadhar Nagar,  Main Sikar Road,, 302013",Jaipur,Rajasthan,"1415163940, 0141 5164000, 0141 2232409, 10, 12",26.968848,75.773365
Military Blood Bank Bathinda,"Military Blood Bank,  Bathinda, 151004",Bathinda,Punjab,0164 2291174,30.216442,74.986339
Kanun Devi Parasmal Mehta Medical and Blood Bank,"733, 1st - C Road, Sardarpura, 342003",Jodhpur,Rajasthan,"0291 5106836, 5107835",26.27777,73.015288
Mahatama Gandhi National Institute of Medical Sciences (MGNIMS) Blood Bank,"Riico Institutional Area, Sitapura, Tonk Road,, 302022",Jaipur,Rajasthan,"0141 2771777  ext 109/110, 0141 2770900",26.770811,75.855209
Sangrur Civil Hospital Blood Bank,"Mubarik Mehal Colony, Dhuri Road, Mahavir chowk, 148001",Sangrur,Punjab,0167 2230130,30.251874,75.836328
AIIMS Hospital Blood Bank,"Basni Industrial Area, Phase-2, Jodhpur., 342005",Jodhpur,Rajasthan,0291 2740741,26.241422,73.004365
Sawai Man Singh (S.M.S) Hospital Blood Bank,"J.L.N. Marg, Near Maharani College, 302004",Jaipur,Rajasthan,"0141 2560291, 0141 2569885, 0141 261 9020, 0141 2518434, 8234",26.906044,75.816216
General Hospital Blood Bank Hisar,"Civil Hospital Blood Bank, Near Bus Stand, 125001",Hisar,Haryana,01662 275566,29.17,75.718602
Government D.B. Hospital Blood Bank,"Near Polica Line, Churu., 311001",Churu,Rajasthan,01562 250333,28.28984,74.959757
Bapu Maghar Singh Ji International Blood Bank,"Shah Satnam Singh Ji Speciality Hospital, 
Nohar Bhadra Road,Shahpur Begu, Near Shah Satnam Ji Dham, Dera Sacha Sauda, 125055",Sirsa,Haryana,"0166 6238687, 01666238659",29.467914,75.068864
Swasthya Kalyan Blood Bank and Thalesemia Research Center,"Swasthya Kalyan Bhawan, Narain Singh Road,  Near Trimurti Circle., 302003",Jaipur,Rajasthan,"0141 2545293, 0141 721771",26.916784,75.829997
Fazilka Civil Hospital Blood Bank,"Railway Colony, 152123",Fazilka,Punjab,01638 267444,30.40713,74.024688
National Institute of Medical Sciences Blood bank,"Shobha Nagar, Jaipur-Delhi Highway (NH-11C), 303121",Jaipur,Rajasthan,"0142 6513118, 0141 2605050",27.192337,75.954816
Amrit Kaur Government Hospital Blood Bank,"Rajasthan State Highway 59, Champa Nagar, 305901",Beawar,Rajasthan,01462 257222,26.080635,74.326431
"Maharaja Agrasen Medical College, Agroha, Blood Bank","Opp. Agroha Dham, 125047",Hisar/Agroha,Haryana,01669-281193/94 (Ext. 225),29.336707,75.622627
Government Hospital Blood Bank,"Bikaner Road, Near Balwa Nagaur, 341001",NAGAUR,Rajasthan,01582 242985,27.207987,73.737224
Military Hospital Blood Bank,"Cantt Area, Jodhpur., 342006",Jodhpur,Rajasthan,0291 2566257,26.289543,73.047169
Jodhpur Medical College,"Near Sriram Excellency Hotel, Opposite Petrol Pump,
Jodhpur., 342003",Jodhpur,Rajasthan,"0291 1281551, 0291 2434374",26.269415,73.007401
Bhagwan Mahaveer Cancer Hospital & Research Centre Blood Bank,"Jawahar Lal Nehru Marg, Bajaj Nagar, Near Saras Sankul, 302017",Jaipur,Rajasthan,0141-2700107 (Ext:275),26.863267,75.805818
J.L.N. and A.G. Hospital Blood Bank,"JLN Hospital,  Ajmer, 305004",Ajmer,Rajasthan,"0145 2431842, 0145 2627686, 0145 2625500,5509",26.469566,74.636014
Government Y.N. Hospital Blood Bank,"Kishangarh Road, Mitra Niwas Colony
Near R.K House, 305801",Kishangarh,Rajasthan,01463 245602,26.581635,74.861008
Santokba Durlabhji Medical Hopsital Blood bank,"Santokba Durlabhji Memorial Hospital cum Medical Research Institute
5th Floor, SDMH OPD Block, Bhawani Singh Road, Bapu Nagar, 302015",Jaipur,Rajasthan,"0141 256 6251, 0141-5196655",26.893786,75.812174
Shri MunshiRam Mittal Memorial Seva Samiti Blood bank,"Opposite to  S.K. School, Silver Jubilee Road,, 332001",Sikar,Rajasthan,"01572 270777, 01572 240404",27.612976,75.150611
Bhathinda Civil Hospital Blood Bank,"Mansa Road, Opposite Police Lines, 151001",Bathinda,Punjab,1642240208,30.19344,74.947545
Government Hospital Blood Bank,"Hardeep Colony, Sri Ganganagar., 335001",Sriganganagar,Rajasthan,0154 2466009,29.903133,73.873964
Monilek Hospital and Research Center Blood Bank,"Sector 4, Jawahar Nagar,  Monilek meag Jawahar nagar, Near UDB Building jawahar nagar, 302004",Jaipur,Rajasthan,"0141 2651393, 0141 2653022",26.88687,75.83414
Sarvodaya Blood Bank services,"Sravodaya Multi Speciality Hospital 
Opp. Red Cross Bhawan, Delhi Road, Hisar, 125001",Hisar,Haryana,0166 223 1031,29.1409,75.733801
Ambika Hospital Blood Bank,"B-22,23, Saraswati Nagar,  Madhuban Housing Board, Basni, 342005",Jodhpur,Rajasthan,"0291-2721223, 0291 2721316",26.231723,73.021055
Shiv Shakti Blood Bank,"Guru Gobind Singh Marg, B Block,Opposite to Valmiki Chowk, 125055",Sirsa,Haryana,"01666 234735, 01666 234117",29.536432,75.022062
Dr. Mankar Memorial Blood Bank,"Mankar Hospital, 2nd Floor, Dr. Mankar Smruti Building, Aastha Hospital, Opposite to Khandelwal CT-Scan Centre, Amanakha Plot,  Civil Line, Akola, 444001",Akola,Maharashtra,0724 2457530,20.724952,77.04278
Saibai Mote General Hospital Blood Bank,"Saibai Mote General Hospital, Shegaon, Buldhana, 444203",Buldhana,Maharashtra,07265 252020,20.795868,76.696688
Jeevanshri Raktapedi,"Ist Floor, Rasmanju Complex, Bhagwat Road, Amalner, 425401",Jalgaon,Maharashtra,9226894187,21.045399,75.063926
Dr. Murlidhar Kharche Memorial Jeevan Jyoti Blood Bank,"Bharat Kala Road, Malkapur, Buldhana, 443101",Buldhana,Maharashtra,07267 26700,20.886486,76.207174
Kailash Cancer Hospital & Research Centre Blood Bank.,"At: Muni seva ashram, po: Goraj, Tal : Waghodiya, Dist : vadodara, State : Gujarat., 391760",Vadodara,Gujarat,"0265 3961300, 0265 3961357",22.334629,73.464162
District Hospital Blood Bank,"District Hospital, 461331",Harda,Madhya Pradesh,07577 223102,22.340634,77.093043
Suraktam Blood Bank Vadodara,"Suraktam Blood Bank, G-7, Blue Chip Building, Near Stock Exchange, Sayajiganj, Vadodara, 390005",Vadodara,Gujarat,"0265 2363660, 0265 2225903",22.307765,73.18633
Madhavrao Golwalkar Swayamsevi Blood Bank,"11-255-J-JMP Market, Chitra Chowk, Near Kombadi Bazar, Jalgaon, 425001",Jalgaon,Maharashtra,"0257 2234590, 0257 2261979",21.016507,75.564845
Government Hospital Blood Bank,"General Hospital Shegaon Road, Khamgaon, Buldhana, 444303",Buldhana,Maharashtra,"07263 255332, 07263 254571",20.708409,76.566704
District Hospital Blood Bank,District Hospital,Alirajpur,Madhya Pradesh,07394 235504,22.184448,74.211956
Late  Shri Mukeshbai Patel Blood Bank,"Shree Swami  Samartha Vaidyakiya  Shaikshanik and Sanshodhan Sanstha, Late  Shri Mukeshbai Patel Blood Bank, 1st Floor, Agrasen  Patpedhi, Maharaja Complex  Shirpur, Dhule, 424001",Dhule,Maharashtra,"09823142895, 08421756756",21.458578,74.961094
S. S. G. Hospital Vadodara,"Blood Bank, The Government Medical College and S.S.G. Hospital, Vadodara, 390001",Vadodara,Gujarat,0265 2424848,22.307133,73.189731
Jankalyan Rakta Pedhi,"Nandurbar,1st Floor, Vivekanand Hospital, Desaipura, Nandurbar, 425412",Nandurbar,Maharashtra,"02564 226934, 02564 226935, 02564 222226",21.36433536,74.24463853
Murlidhar Kripa Hospital Blood Bank,"Murlidhar Kripa Hospital of JK Mansingh Ka Trust, Maxi District, Shajapur, 465106",Maxi,Madhya Pradesh,"07363 233426, 07363 233428",23.2506645,76.1374297
Mittal Hospital Blood Bank,"Narsingh Chopati, Dhar, 454001",Dhar,Madhya Pradesh,"07292 222451, 07292 222453",22.595954,75.299087
Maliba Raktdan Kendra (IRCS),"Blood Bank, Indian Red Cross Society, Maliba Raktadan Kendra, Bhikhiba Redcross Bhavan, Vilasini K. Desai aarogya Sankul, Near Vanchetana, Near Kakrapar, Vyara, Tapi, 394651",Vyara,Gujarat,02626 290181,21.118758,73.404128
Shahada Blood Bank (Whole Human Blood),Shahada,Dhule,Maharashtra,02565 223446,21.554796,74.472875
General Hospital Blood Bank Ahwa,"Blood Bank, General Hospital, Ahwa, Dang, 394710",Ahwa,Gujarat,02631 220205,20.761612,73.689241
Nirnay Janseva Blood Bank,"Fulwala Chowk, (C.S.No.1415/A/1/A) Lane No. 4  Dr. Odhekar Building, Agra Road, 424001",Dhule,Maharashtra,02562 238262,20.904116,74.77767
Jawahar Medical Foundation Blood Bank,"Hutatma Shririshkumar Nagar, Opposite to Jawahar Suthgirani, Morane, Sakri Road, Dhule, 424001",Dhule,Maharashtra,"02562 276317, 02562 277298",20.90361,74.741293
